,α_v,α_θ,α_a,β2,β3,β4,β5,β6,loss
0,0.986136516611956,0.9880249072394591,0.0,14.999445947506764,14.99939478090238,0.0,0.0,9.993583513618864,353168.917949162
1,0.7320838964063457,0.26439616860417814,0.008126622841009554,3.0642539180239505,10.986379379432824,2.757081643602625,2.631019790261132,0.9943633396961825,65210.94564795734
2,0.0,0.03752330382945414,0.015463893864585403,5.959777727231302,5.632271593952316,5.204268368974834,4.809842476104097,4.481592093042523,25889.9322746535
3,0.0,0.0023344115953478515,0.011227908400202853,14.999988149447208,0.0,0.0,0.0,10.0,44527.14566309073
4,0.20547226505601357,0.16889392487626187,0.0,7.119804693173037,3.651664114226922,3.5182052540482003,3.3736615546559037,3.018035728354005,37798.65098948587
5,0.30996066315080345,0.12270504715215885,0.10477256390882272,4.026708691438526,0.0,0.0,0.0,0.0,51425.67007050351
6,0.0,0.03752683312830119,0.015461875160161316,5.959621375303303,5.632152876687913,5.204148485058674,4.809718899312173,4.481477814374748,25889.93227588981
7,0.0,0.0031420621779488715,0.04182288067752469,13.100083382752585,12.273979019585118,0.0,0.0,0.0,45236.536564419956
8,0.0,0.03752567776324789,0.015461297016840281,5.959630313321969,5.631215306695748,5.205415975943926,4.809598569612877,4.481488323298093,25889.932914551304
9,0.0,0.0019591140958488762,0.09473871310894273,14.999015331889716,0.0,0.0,0.0,0.0,51602.41639212835
